Certificate Pinning,"Persisting either a server's X509 certificate or their public key and comparing that to server's presented identity to allow for greater client confidence in the remote server's identity for SSL connections.   Pinning allows for a trusted copy of a certificate or public key to be associated with a server and thus reducing the likelihood of frequently visited sites being subjected to man-in-the-middle attacks. Certificates or public keys can be pinned after a trusted connection has been established or the pinning can be preloaded in an application, which is the preferred method for mobile applications. Pinning can take the form of certificate pinning or public key pinning.  Certificate Pinning Certificate Pinning (CP) allows for the client to verify the X509 certificate with a preloaded certificate. Typically, this is involves storing a hash of the certificate and using the stored hash for comparison to the hash of the certificate submitted during the SSL handshake.  Public Key Pinning Public Key Pinning (PKP) requires the extraction of a public key from server's certificate. The stored public key is compared to the server's presented public key. A public key is expected to rotate less frequently than an X509 certificate and is generally favored over certificate pinning.   An extension of PKP is Subject Public Key Information Pinning (SPKI) includes public key pinning plus additional information for SSL connections. The additional information can include preferred algorithms.  With pinned certificates whenever a server updates its certificate, the pinned certificates will also need to be updated With pinned public keys the extracted key may be subject to key refresh policies but much less frequently Websites can become unavailable if pinned objects are set and not updated with the rotated identities. This may require a pinning strategy to be developed. "
Credential Transmission Scoping,Limiting the transmission of a credential to a scoped set of relying parties.
Domain Trust Policy,Restricting inter-domain trust by modifying domain configuration.  
Multi-factor Authentication,"Requiring proof of two or more pieces of evidence in order to authenticate a user.   When logging into an account users present two or more credentials that fall into different categories: something you know (password or PIN), something you have (smart card or phone), or something you are (fingerprint). MFA configuration steps may vary across accounts and in some cases left up to users to activate and implement."
One-time Password,"A one-time password is valid for only one user authentication. When a user initiates authentication, they are asked for a one-time password, often in addition to other credentials such as a traditional password or smart card. The one-time password may be from a list provided in advance, sent via a channel such as SMS or HTTPS to an app, or a generated token. In the case of a physical token which generates one-time passwords incrementally based on time elapsed, that token device need not be connected to the internet. In different implementations, an administrator of the system, or a user with additional verification, can adjust for clock skew between the token and the verification system as needed.  SIM Swapping Secure token visual compromise Insecure delivery channel  Physical loss of One-time Password device. These are often provided in the form of a downloadable document with a regular name, which can be searched for in the case that the user forgets where they put them.  This digital file or printed document could be stolen. Additionally, after the code file is printed, it could be recovered from the system printer spool unless the spooler cache is cleared."
Strong Password Policy,"Modifying system configuration to increase password strength.   Password strength guidelines include increasing password length, permitting passwords that contain ASCII or Unicode characters, and requiring systems to screen new passwords against lists of commonly used or compromised passwords. Extremely complex password requirements may lead users to saving passwords in text files or picking obvious passwords that meet the policy."
User Account Permissions,Restricting a user account's access to resources.  
Message Hardening,Email or Messaging Hardening includes measures taken to ensure the confidentiality and integrity of user to user computer messages.
Message Authentication,"Authenticating the sender of a message and ensuring message integrity.   Digital signatures are used to verifying a message is from the expected sender. In email, Secure/Multipurpose Internet Mail Extensions (S/MIME) protocol is typically used to digitally sign messages. A hash value of the sender's message is created and encrypted with the sender's private key to create a digital signature. The message and the digital signature are sent to the recipient where the sender's public key is used to decrypt the digital signature and compute the hash of the message. The computed hash is compared with the hash from the received message, and any difference in the hash values signify the message did not originate from the sender and has been alerted in transit. MAC is a fixed size string that is appended to a message to provide message authentication and integrity. The sender MAC signing algorithm takes as input a secret symmetric key shared between sender and recipient and the message to calculate a short tag that is appended to the message. The recipient receives the message with the appended tag, and a MAC verification algorithm is run using the symmetric key to verify the message came from the stated sender and ensure the message has not been tampered with.   Public keys associated with digital signatures should be verified by a Certification Authority (CA) to prevent impersonation. The CA verifies the owner of a public key and puts the sender's identity and public key into a certificate that is signed by the CA. Digital signatures provide non-repudiation where a third party can verify the authenticity of the message using the sender's digital certificate signed by the CA. Symmetric keys must be exchanged securely via a private channel and management of new symmetric keys are needed for each pair of participants wishing to exchange messages. "
Message Encryption,"Encrypting a message body using a cryptographic key.   Asymmetric encryption is typically accomplished using public and private key certificates based on the X.509 standard. The sender encrypts messages using the recipient's public key and the receipt decrypts the message using their private key. Standards that can be used to implement message encryption include S/MIME (Secure/Multipurpose Internet Mail Extensions) and PGP. Symmetric encryption uses the same cryptographic key by both the sender and receiver to encrypt and decrypt a message. Asymmetric key exchange protocols such as Diffie-Hellman can be used to share the cryptographic key with the recipient.  Separate configuration settings to enable message encryption are often needed for each messenger client (e.g. webmail, desktop client, mobile). Continuous monitoring to ensure private keys are not compromised and the certificate authority (CA) is trusted. Secure transfer of private keys between multiple devices. "
Transfer Agent Authentication,"Validating that server components of a messaging infrastructure are authorized to send a particular message.   Transfer Agent Authentication can be accomplished in different ways for depending on the protocol. In Email,  Sender Policy Framework (SPF), Domain Key Identified Email (DKIM) or Domain-based Message Authentication Reporting and Conformance (DMARC) to validate sender domain ownership. SPF protocol allows for mail domain owners to specify the mail servers they use when sending email. SPF requires the use of SPF records published in the Domain Name System (DNS). The records record the authorized IPs for email senders. SPF uses the return-path address for domain IP identification. Email that is forwarded may cause the return-path validation problems. DKIM also uses a record entry in DNS for authentication but does not rely on the simple return-path for validation. A signature header is added to email and encryption is used for security. This adds an additional layer of complexity and requires that DKIM servers be configured identified cryptographic signatures. The additional complexity results in a validation process that can survive complex routing of emails. DMARC is an email policy and authentication protocol that seeks to ensure that the ""From"" field of emails is not spoofed. DMARC makes use of both SPF records and DKIM published key validation. DMARC also has a decision policy framework, contained in a DMARC record, for handling of rejected email. The DMARC framework also updates DMARC domains with authentication statues for allowed senders of that domain.  Additional work is required to ensure that all SPF, DKIM and DMARC records are current and up to date.  Maintenance of DKIM signing keys is needed.  Using SPF without DKIM and DMARC verifies the Return-Path domain however does not prevent spoofing of the displayed From: address.  Parts of an email that are not signed or verified by email authentication methods, such as the message body or the header To: and Subject: fields, can be altered or modified.  Email message authentication does not replace the need to do email content analysis since executables, attachments, or links or other parts of the email beyond the sender domain are not verified. "
Platform Hardening,Hardening components of a Platform with the intention of making them more difficult to exploit.   Platforms includes components such as:    BIOS UEFI Subsystems Hardware security devices such as Trusted Platform Modules Boot process logic or code Kernel software components   
Bootloader Authentication,Cryptographically authenticating the bootloader software before system boot.
Disk Encryption,Encrypting a hard disk partition to prevent cleartext access to a file system.  
Driver Load Integrity Checking,"Ensuring the integrity of drivers loaded during initialization of the operating system.   This technique can be accomplished in a number of ways:  A kernel level security agent installed on a host machine ensures that the driver associated with the agent is first in the initialization order. A dependent DLL associated with the driver is configured to be processed before other dependent DLLs and executes a number of operations to ensure the driver associated with the security agent is initialized first.  Kernel components can be signed by a certificate obtained by a third party to verify the source of the component and whether it has been modified. When signed, the component will include a signature block implemented as a hash value of the component header and can also include a certificate chain. The signature and certificate data are typically added before the kernel component is distributed to the public.     The private keys to sign certificates as reputable companies have been stolen in the past -- in cases such as where certificates from Adobe, Realtek, and JMicron have been used to sign malicious executables. (Source: https://resources.infosecinstitute.com/cybercrime-exploits-digital-certificates/#gref)  Trusted Root Certificate Authorities have been compromised, yielding the ability to use the compromised keys to generate certificates with an arbitrary company name.  It may not be difficult for an attacker to start an organization which can obtain a signed certificate.  A root certificate authority (CA) whose certificate is trusted in the verification logic could generate incorrect certificates, if they are lax or have ulterior motives.  "
File Encryption,"Encrypting a file using a cryptographic key.   Files are encrypted using either a single key for both encryption and decryption or separate keys. Single key encryption is symmetric encryption and using two key distinct keys is asymmetric encryption.  Symmetric encryption uses the same cryptographic key for both the encryption and decryption a file. Managing keys at scale sometimes uses asymmetric key exchange protocols such as Diffie-Hellman can be used to share the symmetric cryptographic key with the others. Asymmetric encryption is typically accomplished using public and private key certificates based on the X.509 standard. Files are encrypted using the public key and decrypted using their private key. Asymmetric encryption is typically slower than symmetric encryption and not widely used for large file encryption, but is popular for key wrapping, key exchanges, and digital signatures.  Continuous monitoring to ensure private keys are not compromised and the certificate authority (CA) is trusted. Secure transfer of private keys between multiple devices. "
Local File Permissions,Restricting access to a local file by configuring operating system functionality.  
RF Shielding,Adding physical barriers to a platform to prevent undesired radio interference.  
Software Update,Replacing old software on a computer system component.  
System Configuration Permissions,Restricting system configuration modifications to a specific user or group of users.  
TPM Boot Integrity,"Assuring the integrity of a platform by demonstrating that the boot process starts from a trusted combination of hardware and software and continues until the operating system has fully booted and applications are running.  Sometimes called Static Root of Trust Measurement (STRM). During the boot process, the BIOS boot block (which with this defense enabled, is the Core Root of Trust for Measurement) measures boot components (firmware, ROM). The TPM hashes those measurements and stores the hashes in Platform Configuration Registers (PCRs).  Upon a subsequent boot, these hashes are provided to a verifier which compares the stored measurements to the new boot measurements. Integrity of the boot components is assured if they match.   Attestation of the secure boot occurs when a verifying entity requests a Quote which is a concatenation of the requested PCR values, hashed and signed by the TPM's unique RSA key.  The TPM signature is trusted because the private key is stored securely in hardware and never leaves the TPM.  The TPM does not perform the follow-on actions of acting on the PCR value information, it just provides the PCR stored information. The current version of TPM is 2.0.; most existing implementations use TPM 1.2.  [1] TPM 2.0 Library [2] TCG Trusted Attestation Protocol (TAP) Use Cases for TPM Families 1.2 and 2.0 and DICE"
File Analysis,"File Analysis is an analytic process to determine a file's status. For example: virus, trojan, benign, malicious, trusted, unauthorized, sensitive, etc.   Some techniques use file signatures or file metadata to compare against historical collections of malware. Files may also be compared against a source of ground truth such as cryptographic signatures. Examining files for potential malware using pattern matching against file contents/file behavior. Binary code may be dissembled and analyzed for predictive malware behavior, such as API call signatures. Analysis might occur within a protected environment such as a sandbox or live system."
Dynamic Analysis,"Executing or opening a file in a synthetic ""sandbox"" environment to determine if the file is a malicious program or if the file exploits another program such as a document reader. Analyzing the interaction of a piece of code with a system while the code is being executed in a controlled environment such as a sandbox, virtual machine, or simulator. This exposes the natural behavior of the piece of code without requiring the code to be disassembled.  Malware often detects a fake environment, then changes its behavior accordingly. For example, it could detect that the system clock is being sped up in an effort to get it to execute commands that it would normally only execute at a later time, or that the hardware manufacturer of the machine is a virtualization provider. Malware can attempt to determine if it is being debugged, and change its behavior accordingly. For maximum fidelity, the simulated and real environments should be as similar as possible because the malware could perform differently in different environments.   Sometimes the malware behavior is triggered only under certain conditions (on a specific system date, after a certain time, or after it is sent a specific command) and can't be detected through a short execution in a virtual environment.   Cuckoo Sandbox "
Emulated File Analysis,Emulating instructions in a file looking for specific patterns.  
File Content Rules,"Employing a pattern matching rule language to analyze files. Rules, often called signatures, are used for both generic and targeted malware detection. The rules are usually expressed in a domain specific language (DSL), then deployed to software that scans files for matches. The rules are developed and broadly distributed by commercial vendors, or they are developed and deployed by enterprise security teams to address highly targeted or custom malware. Conceptually, there are public and private rule sets. Both leverage the same technology, but they are intended to detect different types of cyber adversaries.  Patterns expressed in the DSLs range in their complexity. Some scanning engines support file parsing and normalization for high fidelity matching, others support only simple regular expression matching against raw file data. Engineers must make a trade-off in terms of:  The fidelity of the matching capabilities in order to balance high recall with avoiding false positives,  The computational load for scanning, and  The resilience of the engine to deal with adversarial content presented in different forms-- content which in some cases is designed to exploit or defeat the scanning engines.   Signature libraries can become large over time and impact scanning performance. Some vendors who sell signatures have to delete old signatures over time. Simple signatures against raw content cannot match against encoded, encrypted, or sufficiently obfuscated content.   YARA ClamAV "
File Hashing,Employing file hash comparisons to detect known malware.   This technique requires a list of hashes to compare a file against. Performance on large files or very large numbers of files.
Identifier Analysis,"Analyzing identifier artifacts such as IP address, domain names, or URL(I)s.  "
Homoglyph Detection,"Comparing strings using a variety of techniques to determine if a deceptive or malicious string is being presented to a user.   A homoglyph, in this context, is a deceptive string or word which looks like a trusted word, but is composed of different characters, for example: goooogle.com versus google.com. This is commonly found in phishing and typo squatting attacks where a human exploiting through a social engineering campaign.  In very large environments processing DNS queries can be computationally expensive due to the amount of traffic that is generated  Legitimate companies and products use non-dictionary words in their names that could result in many false positives "
URL Analysis,"Determining if a URL is benign or malicious by analyzing the URL or its components.   URLs may contain components, for example:  scheme userinfo host name port path query fragment  These components are used as features in analysis algorithms. Contextual information about a URL such as where it is embedded (ex. emails, files, network protocols), header, path, location, and origin information, as well as information about the content returned from the URL request, may be incorporated into an analytic for URL analysis. For example, if a URL indicates a .pdf file but an executable is actually returned, the combination of these two pieces of information indicates suspicious activity. Additional techniques include:  Extracting features of a URL such as domain name length, ratio of consecutive consonants, percentage of digits in a domain, and number of vowels. Values for each feature are combined to develop a score for the URL.  Determining the probability of a character occurring in the URL given the preceding two characters. For example, for google.com, the probability of a 'g' occurring at the beginning of a word, the probability of an 'o' occurring after a ""g, the probability of an o"" occurring after a 'g' and ""o, and so forth. A dictionary or a list of known good domains is used to determine probability. Probabilities are multiplied to develop a score for the URL.  URL analysis may trigger follow-on analytics such as File Analysis  Volume of URLs being analyzed, combined with the speed at which they are analyzed Fidelity of analysis technique at detecting brand new URLs versus analyzing URLs of established domains "
Message Analysis,"Analyzing email or instant message content to detect unauthorized activity. Email and messaging are frequently used to deliver malicious content to targets. These enterprise capabilities are used to deliver software exploits or social engineering tricks. If the recipient of a message trusts the sender, attackers can avoid escalating suspicion. Emails and messages are also complex data structures. They contain files and links, and complex data encodings which vary region to region. Thus the defensive techniques used to analyze emails and messages are highly varied ranging from deep content analysis and execution to social network graph-style analytics to analyze trust or risk."
Sender MTA Reputation Analysis,"Characterizing the reputation of mail transfer agents (MTA) to determine the security risk in emails.   The sender message transfer agent (MTA) trust rating can be considered an indicator of the level of security risk and/or a trust level associated with sender MTAs in an email header. The features considered in determining the trust rating may include:   Length of time MTA has interacted with the enterprise Number of sender domains sending emails from the MTA Number of recipients in the enterprise the MTA sends emails to Number of emails received from this MTA Number of email replies received from this MTA  For example, higher values for the length of time an MTA has interacted with the enterprise, or number of emails received from an MTA can result in a higher trust rating. The trust rating categorizes the sender MTA as unrated, neutral, trusted, suspicious, or malicious. Legitimate emails from a sender MTA may receive a lower trust rating over time if the sender's domain gets spoofed and is used to send unauthorized emails."
Sender Reputation Analysis,"Ascertaining sender reputation based on information associated with a message (e.g. email/instant messaging).   Sender trust rating can be considered an indicator of the level of security risk and/or a trust level associated with a sender. The features considered in determining the trust rating include:  Length of time sender has sent emails to the enterprise Number of recipients in the enterprise the sender interacts with Sender vs. enterprise originated message ratio Sender messages opened vs. not-opened ratio Number of emails received from this sender  Number of emails replied to this sender Number of emails from this sender not opened Number of emails from this sender not opened that contain an attachment Number of emails from this sender not opened that contain a URL Number of emails sent to this sender Number of email replies received from this sender.  Higher values for the number of recipients the sender has interacted with or the number of emails received from the sender, for example, results in a higher trust rating. The trust rating can categorize the sender as unrated, neutral, trusted, suspicious, or malicious. Legitimate emails from a sender may receive a lower trust rating over time if the sender's domain gets spoofed and is used to send unauthorized emails."
Network Traffic Analysis,Analyzing intercepted or summarized computer network traffic to detect unauthorized activity.  
Administrative Network Activity Analysis,"Detection of unauthorized use of administrative network protocols by analyzing network activity against a baseline.   Network protocols such as RDP, IPMI, SSH, SNMP, VNC, MOSH, NX, TeamViewer, SPICE, PCoIP, and others are used by system administrators to remotely manage servers. Defenders monitor administrative network activity to determine if the use of remote protocols is malicious. Attackers can abuse administrative protocols and leverage them for initial access to various endpoints. For example, an attacker with valid credentials will remotely SSH or RDP into a server and attempt to blend in with existing traffic from system administrators. By monitoring the traffic activity, it is possible to detect when the protocols are behaving differently from a known baseline of system administration activity.  Administrative traffic can be encrypted, making network protocol analysis a challenge False alarms can be mitigated by integration with inventory management systems "
Byte Sequence Emulation,"Analyzing sequences of bytes and determining if they likely represent malicious shellcode.. Bytes are analyzed as if they are machine code instructions, and such instructions that are a common component of known shellcode are noted, such as stack pivots, reads from a Memory Address Table, and system calls for functions that disable protections or execute code.  For example, the x86 instruction b0 0b: mov $11, %ax, with no further alterations to the %ax register, followed by cd 80: syscall executes the system call execve() in the Linux kernel, which replaces the current process with another one specified -- this is a common action in shellcode, so this sequence would be flagged.  This technique detects shellcode despite whether or not it would cause a buffer overflow in the target binary. If the sequence of bytes contains a sequence similar to that used in malicious shellcode, the entire byte sequence is flagged and a follow-on technique may be invoked. If the shellcode instructions are far apart, simple implementations might not detect the shellcode. Due to the nature of assembly instructions not having a defined start or end, implementations which do not process all start sequences (for example, when they a find byte sequence of interest, continue scanning forwards from the end of it) might not detect the shellcode. This technique might not detect more complex or obfuscated instructions.  For that purpose, Dynamic Analysis or Emulated File Analysis could assist by analyzing the actual instruction function. This technique may not detect self-modifying code.  To make it harder for a process to modify itself, Process Segment Execution Prevention should be used, while noting its considerations. This technique might not detect malicious shellcode which reuses instructions in the target binary for malicious effect, as memory references in the presumed assembly code are not dereferenced.  Dynamic Analysis and Emulated File Analysis, when set up properly to fork from the running target binary, might detect this.  Process Segment Execution Prevention combined with Segment Address Offset Randomization frequently makes introduction of shellcode through overwriting a saved return pointer more difficult.  Call stack depth analysis might detect excessive reuse of instructions in the target binary.  Shadow Stack Frames might detect that a stack frame's return address has changed and Stack Frame Canary Verification might detect that the stack frame's return address was overwritten.  Other heuristic methods might detect jump-oriented programming shellcode. With inserting code directly, that it is not a buffer overflow, and just some place where code is executed either to a file or a write-what-where, the buffer overflow mitigations do not help.  Behavioral analysis could detect this, or proper access control could mitigate this. Byte sequences containing code that is never used as machine code are still analyzed and flagged for anomalies, and eventually, it is likely that an attack sequence will arise from the sheer volume of bytes transmitted."
Certificate Analysis,"Analyzing Public Key Infrastructure certificates to detect if they have been misconfigured or spoofed using both network traffic, certificate fields and third-party logs.   Certificate Analysis ensures that the data elements of the certificate are current and anchored in a known trust model. Certificate authorities, revocation lists, and third-party secure logs are used in the analysis. Analysis includes detection of server impersonation, phishing domains, and forged certificates. TLS certificates are designed to expire to ensure that the cryptographic keys are forced to be changed on a regular basis. The certificates in the trust path also expire and can cause a break in the trust chain. This means that even if a server certificate is updated correctly, intermediate certificates can expire and the trust chain is not maintained. This can cause services to become unavailable."
Active Certificate Analysis,"Actively collecting PKI certificates by connecting to the server and downloading its server certificates for analysis.   Analysis of server certificates using active methods to detect if certificates have been misconfigured or spoofed by using elements of the certificate, certificate authorities and signatures. This can be accomplished by verifying the digital signature on certificate. The client's browser can perform path verification to ensure that the server's certificate contains a valid trust anchor. Some browsers can be configured to implement the key-usage extensions contained certificates. This can help to prevent a certificate from being misused. Using either Certificate Revocation Lists (CRLs) or Online Certificate Status Protocol (OCSP) to determine the revocation status. OCSP Stapling, binding the status with the certificate, helps to mitigate potential delay in status verifications.  Management of the PKI across the enterprise typically requires automation to maintain scalability and flexibility If the certificate authority, issuing the certificate, is compromised then all of the certificates issued by the CA are suspect There may be delays associated with updates to certificates Revoked certificates give the appearance of valid certificates until they are published to a trusted revocation service (OCSP or CRL) The revocation service (OCSP or CRL) may be down during our connection and a browser will need to make a decision will need to be made about trusting the connection "
