Defensive Technique Name		Techniques/Sub-Techniques it is a solution to
File Content Rules		OS Credential Dumping, Unsecured Credentials, Modify Authentication Process, Forced Authentication, Proc Filesystem, /etc/passwd and /etc/shadow, Credentials in Files, Password Filter DLL, Pluggable Authentication Modules, Email Collection, Archive Collected Data, Automated Collection, Local Email Collection, Archive via Utility, Archive via Library, Archive via Custom Method, Implant Container Image, Scheduled Task/Job Execution, Event Triggered Execution, Hijack Execution Flow, Boot or Logon Autostart Execution, Office Application Startup, Server Software Component, Create or Modify System Process, Boot or Logon Initialization Scripts, Launchd, Screensaver, .bash_profile and .bashrc, Trap, LC_LOAD_DYLIB Addition, Accessibility Features, PowerShell Profile, Emond, Component Object Model Hijacking, AppCert DLLs, AppInit DLLs, DLL Search Order Hijacking, DLL Side-Loading, Dylib Hijacking, LD_PRELOAD, Path Interception by PATH Environment Variable, Path Interception by Search Order Hijacking, Path Interception by Unquoted Path, COR_PROFILER, Registry Run Keys / Startup Folder, Kernel Modules and Extensions, Re-opened Applications, LSASS Driver, Shortcut Modification, Plist Modification, Office Template Macros, Outlook Forms, Web Shell, Launch Agent, Systemd Service, Launch Daemon, Logon Script (Windows), Logon Script (Mac), Network Logon Script, Rc.common, Rootkit, Deobfuscate/Decode Files or Information, Obfuscated Files or Information, Masquerading, Process Injection, Modify Authentication Process, Indicator Removal on Host, Trusted Developer Utilities Proxy Execution, Abuse Elevation Control Mechanism, Hide Artifacts, Impair Defenses, Hijack Execution Flow, Binary Padding, Software Packing, Compile After Delivery, Invalid Code Signature, Rename System Utilities, Match Legitimate Name or Location, Space after Filename, Dynamic-link Library Injection, Portable Executable Injection, Thread Execution Hijacking, Proc Memory, VDSO Hijacking, Password Filter DLL, Pluggable Authentication Modules, Clear Linux or Mac System Logs, File Deletion, MSBuild, Bypass User Access Control, Sudo and Sudo Caching, Hidden Users, Hidden Window, Run Virtual Instance, Impair Command History Logging, DLL Search Order Hijacking, DLL Side-Loading, Dylib Hijacking, LD_PRELOAD, Path Interception by PATH Environment Variable, Path Interception by Search Order Hijacking, Path Interception by Unquoted Path, COR_PROFILER, Command and Scripting Interpreter Execution, Software Deployment Tools Execution, Scheduled Task/Job Execution, User Execution, JavaScript/JScript, PowerShell Execution, AppleScript Execution, Windows Command Shell Execution, Unix Shell Execution, VBScript Execution, Python Execution, Network Device CLI, Launchd, Malicious File Execution, Software Deployment Tools Execution, Internal Spearphishing, Process Injection, Scheduled Task/Job Execution, Hijack Execution Flow, Abuse Elevation Control Mechanism, Event Triggered Execution, Boot or Logon Initialization Scripts, Create or Modify System Process, Boot or Logon Autostart Execution, Dynamic-link Library Injection, Portable Executable Injection, Thread Execution Hijacking, Proc Memory, VDSO Hijacking, Launchd, Dylib Hijacking, LD_PRELOAD, Path Interception by PATH Environment Variable, Path Interception by Search Order Hijacking, Path Interception by Unquoted Path, COR_PROFILER, DLL Search Order Hijacking, DLL Side-Loading, Bypass User Access Control, Sudo and Sudo Caching, Screensaver, .bash_profile and .bashrc, Trap, LC_LOAD_DYLIB Addition, Accessibility Features, AppCert DLLs, AppInit DLLs, PowerShell Profile, Emond, Component Object Model Hijacking, Logon Script (Windows), Logon Script (Mac), Network Logon Script, Rc.common, Launch Agent, Systemd Service, Launch Daemon, Registry Run Keys / Startup Folder, Kernel Modules and Extensions, Re-opened Applications, LSASS Driver, Shortcut Modification, Plist Modification, Data Manipulation, Stored Data Manipulation, Runtime Data Manipulation, Phishing, Spearphishing Attachment, Spearphishing Link, Spearphishing Via Service, 	173
File Hashing		OS Credential Dumping, Unsecured Credentials, Modify Authentication Process, Forced Authentication, Proc Filesystem, /etc/passwd and /etc/shadow, Credentials in Files, Password Filter DLL, Pluggable Authentication Modules, Email Collection, Archive Collected Data, Automated Collection, Local Email Collection, Archive via Utility, Archive via Library, Archive via Custom Method, Implant Container Image, Event Triggered Execution, Boot or Logon Autostart Execution, Create or Modify System Process, Scheduled Task/Job Execution, Office Application Startup, Server Software Component, Hijack Execution Flow, Boot or Logon Initialization Scripts, .bash_profile and .bashrc, Trap, LC_LOAD_DYLIB Addition, Accessibility Features, AppCert DLLs, AppInit DLLs, PowerShell Profile, Emond, Screensaver, Component Object Model Hijacking, Registry Run Keys / Startup Folder, Kernel Modules and Extensions, Re-opened Applications, LSASS Driver, Shortcut Modification, Plist Modification, Launch Agent, Systemd Service, Launch Daemon, Launchd, Office Template Macros, Outlook Forms, Web Shell, DLL Search Order Hijacking, DLL Side-Loading, Dylib Hijacking, LD_PRELOAD, Path Interception by PATH Environment Variable, Path Interception by Search Order Hijacking, Path Interception by Unquoted Path, COR_PROFILER, Logon Script (Windows), Logon Script (Mac), Network Logon Script, Rc.common, Rootkit, Deobfuscate/Decode Files or Information, Obfuscated Files or Information, Masquerading, Process Injection, Modify Authentication Process, Indicator Removal on Host, Hijack Execution Flow, Trusted Developer Utilities Proxy Execution, Abuse Elevation Control Mechanism, Hide Artifacts, Impair Defenses, Binary Padding, Software Packing, Compile After Delivery, Invalid Code Signature, Rename System Utilities, Match Legitimate Name or Location, Space after Filename, Dynamic-link Library Injection, Portable Executable Injection, Thread Execution Hijacking, Proc Memory, VDSO Hijacking, Password Filter DLL, Pluggable Authentication Modules, Clear Linux or Mac System Logs, File Deletion, DLL Search Order Hijacking, DLL Side-Loading, Dylib Hijacking, LD_PRELOAD, Path Interception by PATH Environment Variable, Path Interception by Search Order Hijacking, Path Interception by Unquoted Path, COR_PROFILER, MSBuild, Bypass User Access Control, Sudo and Sudo Caching, Hidden Users, Hidden Window, Run Virtual Instance, Impair Command History Logging, Command and Scripting Interpreter Execution, Software Deployment Tools Execution, Scheduled Task/Job Execution, User Execution, JavaScript/JScript, PowerShell Execution, AppleScript Execution, Windows Command Shell Execution, Unix Shell Execution, VBScript Execution, Python Execution, Network Device CLI, Launchd, Malicious File Execution, Software Deployment Tools Execution, Internal Spearphishing, Event Triggered Execution, Process Injection, Abuse Elevation Control Mechanism, Hijack Execution Flow, Boot or Logon Autostart Execution, Scheduled Task/Job Execution, Boot or Logon Initialization Scripts, Create or Modify System Process, Screensaver, .bash_profile and .bashrc, Trap, LC_LOAD_DYLIB Addition, Accessibility Features, AppCert DLLs, AppInit DLLs, PowerShell Profile, Emond, Component Object Model Hijacking, Dynamic-link Library Injection, Portable Executable Injection, Thread Execution Hijacking, Proc Memory, VDSO Hijacking, Bypass User Access Control, Sudo and Sudo Caching, DLL Side-Loading, Dylib Hijacking, LD_PRELOAD, Path Interception by PATH Environment Variable, Path Interception by Search Order Hijacking, Path Interception by Unquoted Path, COR_PROFILER, DLL Search Order Hijacking, Registry Run Keys / Startup Folder, Kernel Modules and Extensions, Re-opened Applications, LSASS Driver, Shortcut Modification, Plist Modification, Launchd, Logon Script (Windows), Logon Script (Mac), Network Logon Script, Rc.common, Launch Agent, Systemd Service, Launch Daemon, Data Manipulation, Stored Data Manipulation, Runtime Data Manipulation, Phishing, Spearphishing Attachment, Spearphishing Link, Spearphishing Via Service, 	173
Identifier Analysis			0
Homoglyph Detection		Email Collection, Local Email Collection, Drive-by Compromise, Phishing, Spearphishing Attachment, Spearphishing Link, Spearphishing Via Service, Internal Spearphishing, User Execution, Malicious Link Execution, 	10
URL Analysis		Drive-by Compromise, Phishing, Spearphishing Link, Spearphishing Via Service, User Execution, Malicious Link Execution, 	6
Message Analysis			0
Sender MTA Reputation Analysis		Email Collection, Local Email Collection, Internal Spearphishing, Phishing, Spearphishing Attachment, Spearphishing Link, 	6
Sender Reputation Analysis		Email Collection, Local Email Collection, Internal Spearphishing, Phishing, Spearphishing Attachment, Spearphishing Link, 	6
Network Traffic Analysis			0
Administrative Network Activity Analysis		OS Credential Dumping, Brute Force, DCSync, Password Spraying, Credential Stuffing, Account Manipulation, Event Triggered Execution, Additional Azure Service Principal Credentials, Windows Management Instrumentation Event Subscription, Accessibility Features, Rogue Domain Controller, Event Triggered Execution, Windows Management Instrumentation Event Subscription, Accessibility Features, 	14
Certificate Analysis			0
Active Certificate Analysis			0
Passive Certificate Analysis			0
Client-server Payload Profiling		Exfiltration Over Other Network Medium, Automated Exfiltration, Scheduled Transfer, Data Transfer Size Limits, Exfiltration Over C2 Channel, Exfiltration Over Alternative Protocol, Exfiltration Over Web Service, Exfiltration Over Symmetric Encrypted Non-C2 Protocol, Exfiltration Over Asymmetric Encrypted Non-C2 Protocol, Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol, Exfiltration to Code Repository, Exfiltration to Cloud Storage, External Remote Services, Drive-by Compromise, Exploit Public-Facing Application, Trusted Relationship, Phishing, Spearphishing Attachment, Spearphishing Link, External Remote Services, BITS Jobs, Traffic Signaling, Event Triggered Execution, Account Manipulation, Port Knocking, Windows Management Instrumentation Event Subscription, Accessibility Features, Additional Azure Service Principal Credentials, BITS Jobs, Traffic Signaling, Rogue Domain Controller, Use Alternate Authentication Material, Port Knocking, Application Access Token, Web Session Cookie, Fallback Channels, Application Layer Protocol, Non-Application Layer Protocol, Traffic Signaling, Data Obfuscation, Web Service, Multi-Stage Channels, Ingress Tool Transfer, Data Encoding, Remote Access Software, Dynamic Resolution, Non-Standard Port, Protocol Tunneling, Encrypted Channel, Proxy, Web Protocols, File Transfer Protocols, Mail Protocols, DNS, Port Knocking, Junk Data, Steganography, Protocol Impersonation, Dead Drop Resolver, Bidirectional Communication, One-Way Communication, Standard Encoding, Non-Standard Encoding, Fast Flux DNS, Domain Generation Algorithms, DNS Calculation, Asymmetric Cryptography, Symmetric Cryptography, Internal Proxy, External Proxy, Multi-hop Proxy, Domain Fronting, Man in the Browser, Man-in-the-Middle, LLMNR/NBT-NS Poisoning and SMB Relay, Man-in-the-Middle, OS Credential Dumping, Brute Force, Steal or Forge Kerberos Tickets, LLMNR/NBT-NS Poisoning and SMB Relay, DCSync, Password Spraying, Credential Stuffing, Kerberoasting, Remote Services, Exploitation of Remote Services, Remote Service Session Hijacking, Lateral Tool Transfer, Use Alternate Authentication Material, Remote Desktop Protocol, SMB/Windows Admin Shares, Distributed Component Object Model, SSH, VNC, Windows Remote Management, SSH Hijacking, RDP Hijacking, Application Access Token, Web Session Cookie, Network Denial of Service, Data Manipulation, Direct Network Flood, Reflection Amplification, Service Exhaustion Flood, Transmitted Data Manipulation, Event Triggered Execution, Windows Management Instrumentation Event Subscription, Accessibility Features, User Execution, Malicious Link Execution, 	110
DNS Traffic Analysis		Network Sniffing, Network Sniffing, Application Layer Protocol, Dynamic Resolution, DNS, Fast Flux DNS, Domain Generation Algorithms, DNS Calculation, 	8
File Carving		Application Layer Protocol, File Transfer Protocols, Lateral Tool Transfer, 	3
IPC Traffic Analysis		BITS Jobs, BITS Jobs, 	2
Network Traffic Community Deviation		Data Obfuscation, Fallback Channels, Application Layer Protocol, Non-Application Layer Protocol, Web Service, Multi-Stage Channels, Ingress Tool Transfer, Data Encoding, Traffic Signaling, Remote Access Software, Dynamic Resolution, Non-Standard Port, Protocol Tunneling, Encrypted Channel, Proxy, Junk Data, Steganography, Protocol Impersonation, Web Protocols, File Transfer Protocols, Mail Protocols, DNS, Dead Drop Resolver, Bidirectional Communication, One-Way Communication, Standard Encoding, Non-Standard Encoding, Port Knocking, Fast Flux DNS, Domain Generation Algorithms, DNS Calculation, Symmetric Cryptography, Asymmetric Cryptography, Internal Proxy, External Proxy, Multi-hop Proxy, Domain Fronting, Man in the Browser, Man-in-the-Middle, LLMNR/NBT-NS Poisoning and SMB Relay, Man-in-the-Middle, OS Credential Dumping, Brute Force, Steal or Forge Kerberos Tickets, LLMNR/NBT-NS Poisoning and SMB Relay, DCSync, Password Spraying, Credential Stuffing, Kerberoasting, Exfiltration Over Other Network Medium, Automated Exfiltration, Scheduled Transfer, Data Transfer Size Limits, Exfiltration Over C2 Channel, Exfiltration Over Alternative Protocol, Exfiltration Over Web Service, Exfiltration Over Symmetric Encrypted Non-C2 Protocol, Exfiltration Over Asymmetric Encrypted Non-C2 Protocol, Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol, Exfiltration to Code Repository, Exfiltration to Cloud Storage, External Remote Services, Drive-by Compromise, Exploit Public-Facing Application, Trusted Relationship, Phishing, Spearphishing Attachment, Spearphishing Link, External Remote Services, BITS Jobs, Traffic Signaling, Event Triggered Execution, Account Manipulation, Port Knocking, Accessibility Features, Windows Management Instrumentation Event Subscription, Additional Azure Service Principal Credentials, BITS Jobs, Traffic Signaling, Rogue Domain Controller, Use Alternate Authentication Material, Port Knocking, Application Access Token, Web Session Cookie, Event Triggered Execution, Windows Management Instrumentation Event Subscription, Accessibility Features, Remote Services, Exploitation of Remote Services, Remote Service Session Hijacking, Lateral Tool Transfer, Use Alternate Authentication Material, Remote Desktop Protocol, SMB/Windows Admin Shares, Distributed Component Object Model, SSH, VNC, Windows Remote Management, SSH Hijacking, RDP Hijacking, Application Access Token, Web Session Cookie, Network Denial of Service, Data Manipulation, Direct Network Flood, Reflection Amplification, Service Exhaustion Flood, Transmitted Data Manipulation, User Execution, Malicious Link Execution, 	110
Per Host Download-Upload Ratio Analysis		Application Layer Protocol, Non-Application Layer Protocol, Web Service, Traffic Signaling, Data Obfuscation, Fallback Channels, Multi-Stage Channels, Ingress Tool Transfer, Data Encoding, Remote Access Software, Dynamic Resolution, Non-Standard Port, Protocol Tunneling, Encrypted Channel, Proxy, Web Protocols, File Transfer Protocols, DNS, Mail Protocols, Dead Drop Resolver, Bidirectional Communication, One-Way Communication, Port Knocking, Junk Data, Steganography, Protocol Impersonation, Standard Encoding, Non-Standard Encoding, Fast Flux DNS, Domain Generation Algorithms, DNS Calculation, Symmetric Cryptography, Asymmetric Cryptography, Internal Proxy, External Proxy, Multi-hop Proxy, Domain Fronting, BITS Jobs, Traffic Signaling, Rogue Domain Controller, Use Alternate Authentication Material, Port Knocking, Application Access Token, Web Session Cookie, BITS Jobs, Traffic Signaling, External Remote Services, Account Manipulation, Event Triggered Execution, Port Knocking, Additional Azure Service Principal Credentials, Windows Management Instrumentation Event Subscription, Accessibility Features, Man in the Browser, Man-in-the-Middle, LLMNR/NBT-NS Poisoning and SMB Relay, Man-in-the-Middle, OS Credential Dumping, Brute Force, Steal or Forge Kerberos Tickets, LLMNR/NBT-NS Poisoning and SMB Relay, DCSync, Password Spraying, Credential Stuffing, Kerberoasting, Remote Services, Exploitation of Remote Services, Remote Service Session Hijacking, Lateral Tool Transfer, Use Alternate Authentication Material, Remote Desktop Protocol, SMB/Windows Admin Shares, Distributed Component Object Model, SSH, VNC, Windows Remote Management, SSH Hijacking, RDP Hijacking, Application Access Token, Web Session Cookie, Drive-by Compromise, Exploit Public-Facing Application, Trusted Relationship, External Remote Services, Phishing, Spearphishing Attachment, Spearphishing Link, Exfiltration Over Other Network Medium, Automated Exfiltration, Scheduled Transfer, Data Transfer Size Limits, Exfiltration Over C2 Channel, Exfiltration Over Alternative Protocol, Exfiltration Over Web Service, Exfiltration Over Symmetric Encrypted Non-C2 Protocol, Exfiltration Over Asymmetric Encrypted Non-C2 Protocol, Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol, Exfiltration to Code Repository, Exfiltration to Cloud Storage, Event Triggered Execution, Windows Management Instrumentation Event Subscription, Accessibility Features, Network Denial of Service, Data Manipulation, Reflection Amplification, Service Exhaustion Flood, Direct Network Flood, Transmitted Data Manipulation, User Execution, Malicious Link Execution, 	110
Protocol Metadata Anomaly Detection		Exfiltration Over Other Network Medium, Automated Exfiltration, Scheduled Transfer, Data Transfer Size Limits, Exfiltration Over C2 Channel, Exfiltration Over Alternative Protocol, Exfiltration Over Web Service, Exfiltration Over Symmetric Encrypted Non-C2 Protocol, Exfiltration Over Asymmetric Encrypted Non-C2 Protocol, Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol, Exfiltration to Code Repository, Exfiltration to Cloud Storage, External Remote Services, Drive-by Compromise, Exploit Public-Facing Application, Trusted Relationship, Phishing, Spearphishing Attachment, Spearphishing Link, External Remote Services, BITS Jobs, Traffic Signaling, Account Manipulation, Event Triggered Execution, Port Knocking, Additional Azure Service Principal Credentials, Windows Management Instrumentation Event Subscription, Accessibility Features, BITS Jobs, Traffic Signaling, Rogue Domain Controller, Use Alternate Authentication Material, Port Knocking, Application Access Token, Web Session Cookie, Application Layer Protocol, Proxy, Web Service, Data Encoding, Traffic Signaling, Data Obfuscation, Fallback Channels, Non-Application Layer Protocol, Multi-Stage Channels, Ingress Tool Transfer, Remote Access Software, Dynamic Resolution, Non-Standard Port, Protocol Tunneling, Encrypted Channel, Web Protocols, File Transfer Protocols, DNS, Mail Protocols, Internal Proxy, External Proxy, Multi-hop Proxy, Domain Fronting, Dead Drop Resolver, Bidirectional Communication, One-Way Communication, Standard Encoding, Non-Standard Encoding, Port Knocking, Junk Data, Steganography, Protocol Impersonation, Fast Flux DNS, Domain Generation Algorithms, DNS Calculation, Symmetric Cryptography, Asymmetric Cryptography, Man in the Browser, Man-in-the-Middle, LLMNR/NBT-NS Poisoning and SMB Relay, Man-in-the-Middle, OS Credential Dumping, Brute Force, Steal or Forge Kerberos Tickets, LLMNR/NBT-NS Poisoning and SMB Relay, DCSync, Password Spraying, Credential Stuffing, Kerberoasting, Remote Services, Exploitation of Remote Services, Remote Service Session Hijacking, Lateral Tool Transfer, Use Alternate Authentication Material, Remote Desktop Protocol, SMB/Windows Admin Shares, Distributed Component Object Model, SSH, VNC, Windows Remote Management, SSH Hijacking, RDP Hijacking, Application Access Token, Web Session Cookie, Network Denial of Service, Data Manipulation, Reflection Amplification, Service Exhaustion Flood, Direct Network Flood, Transmitted Data Manipulation, User Execution, Malicious Link Execution, Event Triggered Execution, Windows Management Instrumentation Event Subscription, Accessibility Features, 	110
